vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,SPLIT_TIME,p_AFR,p_EUR,success_rate | likelihood
123,19188,17557,11454,31632,13,2000,0.8816772528548277,0.11832274714517232,0.57
124,14605,13266,8061,40195,14,2000,0.8786297131258093,0.12137028687419071,0.48
125,10341,30367,22590,13361,11,2000,0.7465033644890487,0.25349663551095125,0.0
126,12782,44581,6946,49786,8,2000,0.8193948885508291,0.1806051114491709,0.0
127,16407,26694,9054,23592,16,2000,0.7740931248856007,0.22590687511439933,0.0
128,11587,17470,20316,11016,16,2000,0.7531327681861111,0.24686723181388892,0.0
129,19400,32601,15678,12846,13,2000,0.8758675894968123,0.12413241050318768,0.45
130,14731,29541,21773,24403,9,2000,0.8919041513870389,0.10809584861296107,0.85
131,11386,17478,27192,47387,8,2000,0.7261040647414666,0.2738959352585334,0.0
132,9515,18147,14827,39604,11,2000,0.7652501664514164,0.2347498335485836,0.0
133,18794,35048,21586,15563,15,2000,0.8194721408511101,0.1805278591488899,0.0
134,8432,26667,5397,30286,11,2000,0.7364394746907198,0.2635605253092802,0.0
135,13826,13091,12464,27726,9,2000,0.8238324705279233,0.1761675294720767,0.0
136,15624,37463,6331,5789,14,2000,0.7527764065631641,0.24722359343683586,0.0
137,15146,19108,14810,37232,12,2000,0.7778169286353513,0.22218307136464865,0.0
138,14699,17072,26715,45884,12,2000,0.7432823931316709,0.2567176068683291,0.0
139,12931,13013,12261,40136,13,2000,0.8617311138928613,0.13826888610713872,0.08
140,10650,45691,17101,5597,14,2000,0.7946967142922863,0.20530328570771372,0.0
141,7399,11739,18300,16307,15,2000,0.7309829124347762,0.2690170875652238,0.0
142,16884,31339,26916,29161,12,2000,0.7728957256070683,0.22710427439293168,0.0
143,19788,11731,16345,41460,10,2000,0.816995511431372,0.18300448856862805,0.0
144,18305,43008,23811,17723,12,2000,0.848067394029528,0.15193260597047198,0.02
145,14617,12622,5564,32159,10,2000,0.7751647136962754,0.22483528630372462,0.0
146,8106,40092,8255,14491,14,2000,0.8770313732504634,0.12296862674953657,0.44
147,11288,13781,17014,18557,15,2000,0.7399232601538873,0.2600767398461127,0.0
148,8325,49167,11852,8456,11,2000,0.8045754023743357,0.19542459762566433,0.0
149,9319,46662,25210,11375,12,2000,0.7689664208795306,0.2310335791204694,0.0
150,13213,37706,11160,41414,16,2000,0.81290688495489,0.18709311504510995,0.0
151,15248,16139,20461,27473,9,2000,0.7304068978974686,0.2695931021025314,0.0
152,16523,39974,9263,24564,14,2000,0.7014425578492146,0.2985574421507854,0.0
153,18251,33821,17282,19044,14,2000,0.7871732503633971,0.21282674963660286,0.0
154,8421,13756,20951,24119,15,2000,0.7575955006400824,0.2424044993599176,0.0
155,11614,12038,12992,5568,13,2000,0.7016089508272763,0.29839104917272374,0.0
156,15860,27524,6571,27660,8,2000,0.8008822426079841,0.19911775739201587,0.0
157,15572,31028,22132,13421,13,2000,0.8152648501671462,0.18473514983285377,0.0
158,16619,33647,6699,34157,14,2000,0.790834157947311,0.20916584205268896,0.0
159,9523,41544,8390,49818,9,2000,0.720707740607616,0.279292259392384,0.0
160,19173,33009,14422,15321,12,2000,0.8769350539066108,0.12306494609338925,0.39
161,12522,12415,8400,21506,16,2000,0.8809278117308417,0.11907218826915833,0.5
162,19064,47587,18991,20931,14,2000,0.7521234094584928,0.24787659054150724,0.0
163,15159,30514,29493,15211,11,2000,0.7685825407113954,0.23141745928860458,0.0
164,18578,39607,13116,30090,11,2000,0.7191931679054054,0.28080683209459456,0.0
165,19450,49925,13325,9350,8,2000,0.8742306300772545,0.12576936992274546,0.37
166,7148,45494,16252,38729,10,2000,0.8754146746757631,0.12458532532423694,0.39
167,9920,17629,7715,44636,13,2000,0.7261511719860217,0.27384882801397825,0.0
168,11416,26107,9392,26665,11,2000,0.8055588459471174,0.19444115405288265,0.0
169,8561,40123,22172,23366,15,2000,0.7162082235244214,0.2837917764755786,0.0
170,17992,47824,10431,16444,13,2000,0.7007067975344111,0.2992932024655889,0.0
171,14329,17673,28634,45479,13,2000,0.752100748808267,0.24789925119173295,0.0
172,11683,46312,21025,14126,16,2000,0.7652641505372728,0.2347358494627272,0.0
173,19262,27004,28948,36875,10,2000,0.7171506557666283,0.2828493442333717,0.0
174,14177,41476,24261,45965,8,2000,0.8681219739344548,0.13187802606554522,0.15
175,8170,31616,17592,41169,10,2000,0.7739233478328497,0.22607665216715034,0.0
176,9659,44960,24581,49661,9,2000,0.8342655955739826,0.1657344044260174,0.0
177,12976,46161,28778,39119,15,2000,0.705165491934647,0.29483450806535305,0.0
178,12693,40696,21259,33517,13,2000,0.883610740428694,0.11638925957130597,0.63
179,17508,34089,19229,35330,14,2000,0.814590027766696,0.18540997223330402,0.0
180,14809,21753,12749,16615,15,2000,0.7694355119517817,0.23056448804821827,0.0
181,8698,22018,21103,45605,14,2000,0.8025255399445957,0.19747446005540426,0.0
182,19713,40777,15703,24540,12,2000,0.8463636645827892,0.15363633541721078,0.02
183,15990,39436,13794,14566,9,2000,0.7885338704879702,0.2114661295120298,0.0
184,16116,46330,15662,41432,11,2000,0.7485224400632857,0.2514775599367143,0.0
185,9243,44116,23230,39665,16,2000,0.7189818046702663,0.2810181953297337,0.0
186,15090,26088,20981,38898,9,2000,0.7970489629388418,0.20295103706115825,0.0
187,13413,12143,23033,39546,12,2000,0.7325844463702358,0.2674155536297642,0.0
188,9866,10385,19857,44880,16,2000,0.7526984547860529,0.2473015452139471,0.0
189,12722,23965,27509,36816,12,2000,0.8752612341805438,0.1247387658194562,0.38
190,11437,41534,21969,17445,16,2000,0.7938777048817753,0.20612229511822466,0.0
191,15549,40164,14770,37774,9,2000,0.7786264101239926,0.22137358987600742,0.0
192,9851,19374,12229,25652,10,2000,0.7409652933311632,0.25903470666883677,0.0
193,17809,34170,17989,28644,10,2000,0.8848596465690066,0.11514035343099338,0.67
194,17608,21273,7209,13570,14,2000,0.7123706508079939,0.2876293491920061,0.0
195,19860,46099,29523,45591,13,2000,0.8007058510883317,0.1992941489116683,0.0
196,15872,13224,5136,46912,8,2000,0.7963937416687843,0.2036062583312157,0.0
197,12301,42361,24534,47174,8,2000,0.8512622859922103,0.14873771400778968,0.01
198,19585,21872,13680,41309,15,2000,0.7816270519951257,0.21837294800487428,0.0
199,8177,30874,12306,43745,11,2000,0.8834607354295724,0.11653926457042763,0.63
200,7855,24014,24808,40677,8,2000,0.8694207499912702,0.13057925000872983,0.16
201,9459,20065,7897,26712,12,2000,0.7166581280535547,0.28334187194644533,0.0
202,10142,16705,15142,11201,15,2000,0.7829898439403592,0.2170101560596408,0.0
203,12702,30260,12475,24568,16,2000,0.8243064779060264,0.1756935220939736,0.0
204,14398,13504,18887,8260,16,2000,0.8463045821320183,0.1536954178679817,0.04
205,9001,37463,7252,16573,9,2000,0.7458645405195288,0.2541354594804712,0.0
206,13615,36107,23944,19668,14,2000,0.8573761674719567,0.14262383252804334,0.06
207,18452,45331,20520,36467,13,2000,0.7543984094183408,0.2456015905816592,0.0
208,19857,11830,23190,39140,9,2000,0.7934038961199538,0.20659610388004623,0.0
209,10338,34586,22267,37469,16,2000,0.7135917848855693,0.2864082151144307,0.0
210,15154,36786,22562,33237,11,2000,0.7158264352591979,0.28417356474080213,0.0
211,17104,42677,7482,31284,16,2000,0.76993415799347,0.23006584200653002,0.0
212,19552,21712,15448,16342,9,2000,0.7618699128463586,0.23813008715364137,0.0
213,18651,17109,20117,32897,10,2000,0.885562191177066,0.11443780882293397,0.66
214,13724,48387,13521,36411,8,2000,0.7725015088829115,0.22749849111708853,0.0
215,15652,31787,20377,39898,11,2000,0.865849878238723,0.13415012176127705,0.11
216,19926,28683,23212,42027,9,2000,0.7620165119983215,0.23798348800167846,0.0
217,8056,14388,5724,17486,16,2000,0.8521563747065297,0.14784362529347028,0.06
218,16355,27167,25432,39180,12,2000,0.8471044727771072,0.1528955272228928,0.01
219,17255,48237,20507,14320,9,2000,0.8348818543634063,0.16511814563659366,0.0
220,11351,14795,16020,18527,14,2000,0.7180952049842888,0.2819047950157112,0.0
221,18328,19041,23455,16493,14,2000,0.8806386264186757,0.11936137358132426,0.56
222,12986,14477,12070,7158,13,2000,0.8648193646853225,0.1351806353146775,0.19
223,10172,48370,20991,17304,9,2000,0.7139259097396399,0.2860740902603601,0.0
224,9515,26307,29784,41595,14,2000,0.8865351046916583,0.1134648953083417,0.72
225,11635,11272,22336,47727,8,2000,0.7396288268289218,0.26037117317107816,0.0
226,9804,44713,26646,29294,11,2000,0.8413959137949295,0.1586040862050705,0.0
227,13467,41734,25062,14266,16,2000,0.78226514257399,0.21773485742600995,0.0
228,9072,45374,13532,19370,16,2000,0.7570912301399649,0.24290876986003507,0.0
229,16533,22998,27074,27543,12,2000,0.7094679548034724,0.29053204519652764,0.0
230,10210,37230,13243,49839,13,2000,0.703385812954433,0.29661418704556697,0.0
231,11409,49732,6906,44067,11,2000,0.8357812800400849,0.1642187199599151,0.0
232,16473,11582,28875,13361,10,2000,0.861204093240225,0.13879590675977505,0.08
233,12116,11019,20294,21818,12,2000,0.8996293490407118,0.10037065095928821,0.91
234,15090,33177,23046,12781,12,2000,0.8120509291406628,0.1879490708593372,0.0
235,15694,46699,16648,38579,10,2000,0.7656779154809684,0.23432208451903158,0.0
236,11539,27328,28074,9513,12,2000,0.7019263468622188,0.2980736531377812,0.0
237,13534,37210,5971,15885,14,2000,0.8579872812388131,0.14201271876118693,0.11
238,10391,24495,29704,46575,8,2000,0.8442352420953835,0.15576475790461652,0.0
239,9078,41337,8551,49652,15,2000,0.7122556394622082,0.28774436053779184,0.0
240,15890,38711,14601,11127,14,2000,0.8464133155113159,0.15358668448868407,0.08
241,16956,21451,28405,24533,10,2000,0.7472675685713593,0.25273243142864066,0.0
242,8048,33078,15204,16939,9,2000,0.7465955340453174,0.2534044659546826,0.0
243,13973,10727,15034,6706,9,2000,0.7071198486064662,0.29288015139353385,0.0
244,17623,33344,24369,43153,10,2000,0.7235033503903789,0.27649664960962106,0.0
245,16306,20146,12151,34583,16,2000,0.8920788112225857,0.1079211887774143,0.84
246,17240,40988,28908,15334,8,2000,0.7174806337925896,0.28251936620741036,0.0
247,13111,48454,8609,26307,9,2000,0.7443245678431695,0.25567543215683053,0.0
248,12648,27030,10220,35208,15,2000,0.7481079956469466,0.25189200435305337,0.0
249,7100,42543,25030,29550,10,2000,0.8293677710988335,0.17063222890116647,0.0
250,14924,47748,15102,27831,9,2000,0.8538127158179233,0.14618728418207672,0.03
251,18597,34364,11907,22992,12,2000,0.7556576784614769,0.2443423215385231,0.0
252,17314,33440,29296,15038,13,2000,0.7308098527729372,0.2691901472270628,0.0
253,9964,42669,14580,40295,12,2000,0.8900841079961772,0.10991589200382279,0.83
254,11928,31363,9572,34498,13,2000,0.8329937493027866,0.16700625069721342,0.0
255,15539,14895,25097,44779,9,2000,0.8871871411736775,0.11281285882632253,0.71
256,10573,12525,7858,17524,13,2000,0.8242640568777859,0.17573594312221408,0.0
257,12733,33508,5651,10545,15,2000,0.7071033986261968,0.29289660137380324,0.0
258,16611,35096,7286,40308,14,2000,0.8732058311726764,0.12679416882732364,0.33
259,16305,24607,21520,8011,15,2000,0.8849898890025663,0.11501011099743375,0.63
260,15050,35914,29143,8650,8,2000,0.8847794939217678,0.1152205060782322,0.62
261,14499,20783,17507,12940,15,2000,0.8298058193759769,0.17019418062402314,0.01
262,16285,38122,9632,38283,15,2000,0.7619860665327457,0.2380139334672543,0.0
263,11382,28731,11804,26260,15,2000,0.7078017116636609,0.2921982883363391,0.0
264,17971,22246,14769,27860,16,2000,0.7029252653279611,0.29707473467203893,0.0
265,17130,30015,12134,38149,12,2000,0.8537334808573196,0.1462665191426804,0.02
266,14792,49218,5089,9737,9,2000,0.792466610901147,0.207533389098853,0.0
267,11532,35065,20022,10400,12,2000,0.8906404226122622,0.10935957738773783,0.75
268,8437,11499,7241,21319,13,2000,0.7144695230470787,0.28553047695292133,0.0
269,8674,35727,16822,20876,16,2000,0.7571408978044644,0.24285910219553564,0.0
270,17817,35604,24862,48991,12,2000,0.7580474643661606,0.24195253563383945,0.0
271,9524,29741,7281,35003,11,2000,0.7988280873500213,0.2011719126499787,0.0
272,15815,32848,24434,40356,12,2000,0.7554475816479845,0.24455241835201547,0.0
273,11137,34309,12824,34798,9,2000,0.7832515031021339,0.21674849689786613,0.0
274,14445,29974,25557,5661,13,2000,0.7655291373893205,0.2344708626106795,0.0
275,18396,43345,23974,23531,12,2000,0.8257738650717045,0.17422613492829553,0.0
276,14923,14303,13956,20422,8,2000,0.7543127553681881,0.2456872446318119,0.0
277,14859,45719,15866,23500,11,2000,0.820416621195409,0.17958337880459097,0.0
278,19673,28732,7339,16868,12,2000,0.7297742065986357,0.2702257934013643,0.0
279,18824,37835,20589,42524,12,2000,0.8807702930038799,0.11922970699612012,0.53
280,12230,21635,8550,33449,12,2000,0.8930383021697412,0.10696169783025877,0.89
281,7314,19539,29234,16709,8,2000,0.8606414119188894,0.13935858808111057,0.1
282,16647,15065,6339,23676,15,2000,0.8342961183118804,0.16570388168811956,0.0
283,14091,28069,25792,14467,12,2000,0.8994141587634283,0.10058584123657166,0.89
284,13921,12693,24981,39394,11,2000,0.7146668976867742,0.28533310231322584,0.0
285,11640,28131,24760,36543,12,2000,0.7116574107605809,0.28834258923941913,0.0
286,7092,37515,25786,29768,9,2000,0.8786566792992361,0.12134332070076392,0.49
287,14794,48495,27884,44698,15,2000,0.7507825870583278,0.2492174129416722,0.0
288,15001,17969,25597,28795,11,2000,0.8564369694282136,0.14356303057178643,0.04
289,16172,11183,26914,9818,15,2000,0.8583272214961073,0.1416727785038927,0.11
290,19372,29016,18943,38517,16,2000,0.7969091275386603,0.20309087246133972,0.0
291,14165,22460,14657,32380,15,2000,0.7578306342712569,0.24216936572874315,0.0
292,16168,14585,7379,30646,15,2000,0.8288564226801433,0.17114357731985674,0.0
293,13660,41444,24184,12469,9,2000,0.894913148810677,0.10508685118932304,0.92
294,13254,46651,17790,9319,11,2000,0.8097726592315635,0.1902273407684365,0.0
295,8311,36336,23519,15211,8,2000,0.7805416385330193,0.21945836146698072,0.0
296,19261,18661,24020,36150,15,2000,0.8562966471435258,0.14370335285647418,0.04
297,18955,48750,25911,44115,8,2000,0.766632685058795,0.233367314941205,0.0
298,13578,25325,23304,25373,16,2000,0.7775810747300597,0.22241892526994034,0.0
299,11352,30036,17459,14831,15,2000,0.8651582821796524,0.1348417178203476,0.22
300,19646,13531,20176,31281,9,2000,0.7786003458826568,0.2213996541173432,0.0
301,16910,30696,27821,30264,16,2000,0.8689945023082146,0.13100549769178538,0.23
302,13605,31861,21193,12375,8,2000,0.705788590758572,0.29421140924142797,0.0
303,16782,32255,10749,9899,8,2000,0.7916162784618554,0.20838372153814455,0.0
304,16253,13207,17863,27299,15,2000,0.8221624893898696,0.17783751061013042,0.0
305,13263,28746,15989,26403,12,2000,0.858188174011378,0.14181182598862196,0.06
306,19260,38491,5871,26567,9,2000,0.7327002019442634,0.26729979805573656,0.0
307,15872,26741,20152,20723,12,2000,0.733324768725091,0.266675231274909,0.0
308,7783,37081,17973,20939,8,2000,0.8157240939455648,0.18427590605443522,0.0
309,19415,17809,21956,27957,16,2000,0.8086232540231201,0.19137674597687993,0.0
310,16141,10928,18720,7015,12,2000,0.7358974873411517,0.2641025126588483,0.0
311,17086,11474,18990,12386,8,2000,0.8600913463923934,0.13990865360760663,0.09
312,18254,37874,27868,38795,8,2000,0.7232950411488753,0.27670495885112467,0.0
313,18671,19224,16951,19889,11,2000,0.7577184685282855,0.2422815314717145,0.0
314,15435,49760,14827,39474,14,2000,0.7381571960418796,0.26184280395812043,0.0
315,7396,47788,22637,12787,11,2000,0.7586991719439895,0.2413008280560105,0.0
316,18844,34068,5172,25017,14,2000,0.8149873361282292,0.18501266387177084,0.0
317,12566,35291,17548,19469,15,2000,0.8826304378009705,0.1173695621990295,0.63
318,17948,33458,14128,22644,14,2000,0.8379431285430365,0.16205687145696346,0.01
319,13476,12466,24518,29905,12,2000,0.7939816023509033,0.20601839764909669,0.0
320,8336,11876,16809,24874,11,2000,0.7969642753701561,0.20303572462984387,0.0
321,19643,42786,16973,35395,9,2000,0.8813561485362902,0.11864385146370982,0.56
322,18233,28184,22467,16581,11,2000,0.7107410695837744,0.28925893041622563,0.0
323,15271,18463,22820,17012,10,2000,0.7909002910115679,0.2090997089884321,0.0
324,9841,27305,27428,7384,8,2000,0.786767103974892,0.21323289602510798,0.0
325,7725,47639,24068,35641,16,2000,0.8494749565978008,0.1505250434021992,0.04
326,12575,40793,22947,41973,10,2000,0.850884211967214,0.14911578803278602,0.01
327,18073,24804,5022,13968,10,2000,0.8801792768701617,0.11982072312983827,0.49
328,13985,25309,23413,33109,13,2000,0.8544751161717778,0.14552488382822215,0.02
329,13243,39265,20144,28120,10,2000,0.7037657223564985,0.2962342776435015,0.0
330,11965,43829,12737,47668,12,2000,0.8837232798990196,0.11627672010098045,0.61
331,18110,19329,17489,37626,11,2000,0.7049302165399978,0.29506978346000223,0.0
332,11393,35166,19015,18071,15,2000,0.7465622822478086,0.25343771775219137,0.0
333,17717,26659,18905,49673,16,2000,0.8579173007252804,0.14208269927471961,0.07
334,7472,34961,17909,44510,10,2000,0.8168359813833198,0.1831640186166802,0.0
335,13636,18618,6137,30599,16,2000,0.8953405977643576,0.10465940223564241,0.87
336,8312,40013,6179,32769,8,2000,0.7243005755968387,0.2756994244031613,0.0
337,18912,24527,22368,13981,8,2000,0.850967950906574,0.14903204909342604,0.02
338,18807,44169,27622,49349,13,2000,0.7565829349797484,0.24341706502025162,0.0
