vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,SPLIT_TIME,p_AFR,p_EUR,likelihood,posterior
66,11400,11545,11978,18800,8,2000,0.8,0.19999999999999996,0.0,0.0
67,9569,25159,27443,33680,14,2000,0.8,0.19999999999999996,0.0,0.0
68,11022,23020,14091,35362,8,2000,0.8,0.19999999999999996,0.0,0.0
69,12970,26663,17473,31834,14,2000,0.8,0.19999999999999996,0.0,0.0
70,17985,36669,18326,36524,10,2000,0.8,0.19999999999999996,0.0,0.0
71,8603,25485,5968,41509,16,2000,0.8,0.19999999999999996,0.0,0.0
72,16891,15839,11103,34208,9,2000,0.8,0.19999999999999996,0.0,0.0
73,12353,37217,26855,30446,8,2000,0.8,0.19999999999999996,0.0,0.0
74,17499,42195,21169,27809,8,2000,0.8,0.19999999999999996,0.0,0.0
75,11276,44433,10020,10849,14,2000,0.8,0.19999999999999996,0.0,0.0
76,14064,14883,29777,12672,13,2000,0.8,0.19999999999999996,0.0,0.0
77,10594,35525,13534,25149,15,2000,0.8,0.19999999999999996,0.0,0.0
78,8427,47925,15958,20995,11,2000,0.8,0.19999999999999996,0.0,0.0
79,18237,36813,29277,49863,8,2000,0.8,0.19999999999999996,0.0,0.0
80,12441,38033,12844,14567,16,2000,0.8,0.19999999999999996,0.0,0.0
81,12645,14217,9897,47191,9,2000,0.8,0.19999999999999996,0.0,0.0
82,7588,37920,7513,16408,13,2000,0.8,0.19999999999999996,0.0,0.0
83,14090,26834,7697,23092,15,2000,0.8,0.19999999999999996,0.0,0.0
84,16950,40354,24322,30813,9,2000,0.8,0.19999999999999996,0.0,0.0
85,9533,35484,14988,26112,13,2000,0.8,0.19999999999999996,0.0,0.0
86,13282,43505,5589,20220,12,2000,0.8,0.19999999999999996,0.0,0.0
87,16152,41007,27960,44865,11,2000,0.8,0.19999999999999996,0.0,0.0
88,11573,25996,16600,5916,15,2000,0.8,0.19999999999999996,0.0,0.0
89,11059,39479,25647,36304,12,2000,0.8,0.19999999999999996,0.0,0.0
90,17252,35909,6627,8743,14,2000,0.8,0.19999999999999996,0.0,0.0
91,19019,28356,10380,44534,10,2000,0.8,0.19999999999999996,0.0,0.0
92,19652,42918,13853,42600,8,2000,0.8,0.19999999999999996,0.0,0.0
93,15505,24282,7221,47465,8,2000,0.8,0.19999999999999996,0.0,0.0
94,8070,31372,15269,39389,11,2000,0.8,0.19999999999999996,0.0,0.0
95,7467,16661,17931,17129,14,2000,0.8,0.19999999999999996,0.0,0.0
96,10375,28240,26291,25245,13,2000,0.8,0.19999999999999996,0.0,0.0
97,17615,20949,27267,10330,12,2000,0.8,0.19999999999999996,0.0,0.0
98,11202,18452,24083,23926,11,2000,0.8,0.19999999999999996,0.0,0.0
99,16003,32973,13150,7602,15,2000,0.8,0.19999999999999996,0.0,0.0
